Abandon;TERK ETMEK
Ability;YETENEK
Able;MUKTEDİR
Aboard;(bir taşıtın)İÇİNDE OLMAK
Abolish;İPTAL ETMEK
Abolition;KALDIRMAK
About;1.HAKKINDA 2.YAKLAŞIK OLARAK
Above;YUKARIDAKİ
Abroad;YURT DIŞI
Absence;YOKLUK
Absent;1.YOK 2.EKSİK
Absolute;MUTLAK, KESİN
Absorb;1)EMMEK, KARŞILAMAK, DENGELEMEK 2)FİKİR ALMAK
Absurd;SAÇMA
Abuse;KÖTÜYE KULLANMA, SUİSTİMAL ETME,KÖTÜ SÖYLEME
Academic;AKADEMİK
Accelerator;GAZ PEDALI
Accent;ŞİVE, AKSAN
Accept;KABUL ETMEK
Access;1)GİRİŞ 2)YOL
Accessible;1)İÇİNE GİRİLEBİLİNİR 2)KOLAY BULUNUR
Accident;KAZA
Accommodate;YERLEŞTİRMEK
Accommodation;KONAKLAMA YERİ
Accompany;EŞLİK ETMEK
According To;GÖRE
Account;HESAP
Accounting;MUHASEBE
Accumulate;TOPLAMAK,BİRİKTİRMEK
Accurate;DOĞRU, HATASIZ
Accuse;SUÇLAMAK
Accused;1)SANIK 2)SUÇLAMAK
Accustom;ALIŞTIRMAK
Accustomed;ALIŞIK,ALIŞKIN
Ache;AĞRI
Achieve;ÜSTÜNDEN GELME,ERİŞMEK,BAŞARMAK
Achievement;BAŞARI
Acid;ASİT
Acknowledge;DOĞRULAMAK
Acquaint;TANIMAK,BİLMEK
Acquire;EDİNMEK
Acquisition;EDİNME, İSTİMLAK, EL KOYMA
Across;1.BİR UÇTAN DİĞERİNE  2.DİĞER TARAFTA
Act;1.DAVRANIŞ  2.DAVRANMAK
Active;ETKİN, FAAL
Actor;ERKEK OYUNCU
Actress;KADIN OYUNCU
Actual;GERÇEK
Add;TOPLAMAK,EKLEMEK
Addict;TİRYAKİ,MÜPTELA
Address;ADRES
Administration; İDARE
Admiral;AMİRAL
Admire;BEĞENMEK,HAYRAN OLMAK
Admission;1)KABUL, İTİRAF 2)GİRİŞ
Admit;1.KABUL ETMEK  2.İZİN VERMEK
Adopt;1)KABUL ETMEK 2)EVLAT EDİNMEK
Adult;YETİŞKİN
Advance;1.İLERİ 2.AVANS
Advanced;GELİŞMİŞ
Advantage;AVANTAJ
Adventure;MACERA
Adverse;ZIT,KARŞI
Advertise;REKLAM YAPMAK, İLAN VERMEK
Advice;TAVSİYE
Advise;TAVSİYE ETMEK
Aerial;ANTEN
Aeroplane;UÇAK
Affair;1.OLAY 2.İŞ 3.İLİŞKİ
Affect;ETKİLEMEK
Afford;SATIN ALMA GÜCÜ OLMAK
Afraid;KORKMAK
After;SONRA
Afternoon;ÖĞLEDEN SONRA
Afterwards;(bir olaydan) SONRA
Again;BİR DAHA;YİNE
Against;KARŞI, ZIT
Age;1.YAŞ 2.ÇAĞ
Aged;YAŞINDA
Agency;ACENTE
Agent;TEMSİLCİ, ARACI
Aggressive;SALDIRGAN, KAVGACI
Ago;ÖNCE
Agree;ANLAŞMAK
Agreement;ANLAŞMA
Agriculture;TARIM
Ahead;ÖNDE
Aid;YARDIM
Aim;1.AMAÇ 2.HEDEF ALMAK
Air;1.HAVA 2.HAVALANDIRMA
Airport;HAVA ALANI
Alarm;ALARM
Album;ALBÜM
Alcohol;ALKOL
Algebra;CEBİR
Alike;HEMEN HEMEN AYNI, BENZER, AYNI YOLDA
Alive;YAŞAMAK,CANLI
All;1.HEP 2.TÜM 3.HER
All Right;1.TAMAM 2.EVET
Alliance;BAĞLAŞMA, BİRLİK, MÜTAREKE
Alligator;TİMSAH
Allocate;TAHSİS ETMEK, DAĞITMAK,BÖLÜŞTÜRMEK
Allocations;TAHSİSAT
Allow;İZİN VERMEK
Allowance;DÜZENLİ SAĞLANAN PARA,HARÇLIK
Ally;ANLAŞMA,BİRLEŞME
Almost;HEMEN HEMEN
Alone;1.YALNIZ  2.TEK
Along;1.BOYUNCA  2.İLERİ
Aloud;SESLİ
Alphabet;ALFABE
Already;AZ ÖNCE, ZATEN
Also;HEM DE
Alter;DEĞİŞTİRMEK
Alternative;ALTERNATİF, SEÇENEK
Although;1.GERÇİ 2.OLMAKLA BERABER
Altogether;TÜMÜYLE, HEP BERABER
Always;HER ZAMAN
Amateur;AMATÖR
Amaze;ŞAŞIRTMAK
Ambassador;BÜYÜKELÇİ
Ambition;HIRS
Ambulance;AMBULANS
Ambush;TUZAK
Amend;DÜZELME, AYARLAMA
Among;ARASINDA
Amount;MİKTAR
Ample;GENİŞ, BOL
Amuse;GÜLDÜRMEK
Anchor;1)ÇAPA 2)DEMİR ATMAK (Gemi)
And;VE
Angel;MELEK
Anger;KIZMAK
Angle;AÇI, KÖŞE
Angry;KIZGIN
Animal;HAYVAN
Ankle;AYAK BİLEĞİ
Anniversary;YILDÖNÜMÜ
Announce;BİLDİRMEK, ÇAĞRIDA BULUNMAK, ANONS
