TERK ETMEK;Abandon
YETENEK;Ability
MUKTEDİR;Able
(bir taşıtın)İÇİNDE OLMAK;Aboard
İPTAL ETMEK;Abolish
KALDIRMAK;Abolition
1.HAKKINDA 2.YAKLAŞIK OLARAK;About
YUKARIDAKİ;Above
YURT DIŞI;Abroad
YOKLUK;Absence
1.YOK 2.EKSİK;Absent
MUTLAK, KESİN;Absolute
1)EMMEK, KARŞILAMAK, DENGELEMEK 2)FİKİR ALMAK;Absorb
SAÇMA;Absurd
KÖTÜYE KULLANMA, SUİSTİMAL ETME,KÖTÜ SÖYLEME;Abuse
AKADEMİK;Academic
GAZ PEDALI;Accelerator
ŞİVE, AKSAN;Accent
KABUL ETMEK;Accept
1)GİRİŞ 2)YOL;Access
1)İÇİNE GİRİLEBİLİNİR 2)KOLAY BULUNUR;Accessible
KAZA;Accident
YERLEŞTİRMEK;Accommodate
KONAKLAMA YERİ;Accommodation
EŞLİK ETMEK;Accompany
GÖRE;According To
HESAP;Account
MUHASEBE;Accounting
TOPLAMAK,BİRİKTİRMEK;Accumulate
DOĞRU, HATASIZ;Accurate
SUÇLAMAK;Accuse
1)SANIK 2)SUÇLAMAK;Accused
ALIŞTIRMAK;Accustom
ALIŞIK,ALIŞKIN;Accustomed
AĞRI;Ache
ÜSTÜNDEN GELME,ERİŞMEK,BAŞARMAK;Achieve
BAŞARI;Achievement
ASİT;Acid
DOĞRULAMAK;Acknowledge
TANIMAK,BİLMEK;Acquaint
EDİNMEK;Acquire
EDİNME, İSTİMLAK, EL KOYMA;Acquisition
1.BİR UÇTAN DİĞERİNE  2.DİĞER TARAFTA;Across
1.DAVRANIŞ  2.DAVRANMAK;Act
ETKİN, FAAL;Active
ERKEK OYUNCU;Actor
KADIN OYUNCU;Actress
GERÇEK;Actual
TOPLAMAK,EKLEMEK;Add
TİRYAKİ,MÜPTELA;Addict
ADRES;Address
 İDARE;Administration
AMİRAL;Admiral
BEĞENMEK,HAYRAN OLMAK;Admire
1)KABUL, İTİRAF 2)GİRİŞ;Admission
1.KABUL ETMEK  2.İZİN VERMEK;Admit
